Museum,Catalog no.,Genus,Species,Sex,Country,State/Region,SKL,BCL,FL,PL,PW,GULW,ZW,POP,POC,MCW,I3-I3,C1-C1,MB,CB,OCB,I3AP,I3ML,C1AP,C1ML,P3H,P3L,P4BP,P4L,P4-C1,c1H lower,c1AP,c1ML,p3H,p3L,p3B,p4H,p4L,p4B,m1L,m1B,MAT,MAM,MFL,MM1,MC1,JDM1,JBM1,JDP4,JBP4,SYML
LACM,54255,Panthera,tigris,unknown,India,,287.4,115.6,150.8,87.2,113,115.8,227.1,102.5,59.6,96.3,42.8,88.2,97.1,57,126.8,,,24.9,17.8,12.1,21.8,17.2,31.3,93.2,50.1,22.6,16.5,9.9,15.9,8.1,15.3,23.2,10.7,27.4,13.1,70.4,44.2,84.7,115.5,209.6,41.8,22.9,41.3,20.8,67.6
LACM,37654,Panthera,tigris,unknown,Sumatra,,288.5,128.3,140.2,81.8,120.7,90.1,225.7,93,55.7,93.3,42.6,90.3,91.2,54,125.1,10.9,9.7,25.8,19.4,11.5,20.7,16.4,31.3,96,44.8,22.4,16,8.3,14.6,7.7,13.5,22.5,11,25,13.1,60.2,39.5,85.7,107.9,194.2,42.2,23.1,40.8,20.4,72.2
USNM,253285,Panthera,tigris,unknown,India,Narbada river drainage,297.2,80.3,139.4,79.7,109.8,85.8,207.8,90.6,56.4,93.5,39.4,78.5,99.7,55.1,121.1,10.8,8.3,20.8,15.5,10.6,20.3,14.6,31,91.8,36.4,18.7,13.8,7.9,13.5,6.8,13,22.2,10,22.9,10.9,60.1,30.7,74.4,99,195.3,34.3,20.5,34.2,16.7,64.5
LACM,52182,Panthera,tigris,unknown,India,,308.5,133.1,152.8,96.7,118.8,96.6,239.5,100,58,106.3,44.6,94.7,98.9,61.2,136.1,12.5,11.9,26.8,19.8,14.2,24.5,18.3,35.8,103.7,48.6,24,17.1,9.9,17.5,9.3,15.4,23.9,11.6,27.1,13.6,69.4,48.2,88.4,119.6,220.3,40.8,23.4,40.1,21.1,67.3
MVZ,189634,Panthera,tigris,female,United States,California; exotic animal training,311.9,75.6,137.9,85.9,110.9,86,206.7,97.7,57.4,92.8,42,85.5,95,56.1,124.5,11.6,9.1,22.5,17.4,12.8,22,16.9,34.1,97.4,40.2,22.7,14.6,9.7,16.5,8.6,15.1,23.2,10.6,24.5,12.8,48.8,31.6,75.4,100.8,197.6,36.2,18.5,39.1,16.7,67.5
LACM,51556,Panthera,tigris,unknown,,,315.5,132.5,151.8,93.6,132.3,94.5,260,110.4,69,105.3,47.1,98.4,103.3,60.9,131.9,13,11.4,,,14.8,24,18.4,37.2,107.6,50.8,24.1,17.4,9.4,17.2,9.3,16.9,23.3,12.4,30.6,14.8,66,45.9,89.6,117.4,215,42.1,24.7,40.2,21.8,72.4
USNM,49728,Panthera,tigris,male,Malay Peninsula,Batu Paliat,342.2,82.9,158.5,91,128,83.3,243.4,99.7,60.6,93.5,44.1,92.3,97.1,57,128.5,13.1,10.4,28.8,19.1,11.5,22.6,18.3,37.3,98.5,41.1,25,17.5,8.9,15.6,9.1,14.9,23.2,12.6,28.6,14.9,78.1,37.5,90.2,113.3,220.6,38.5,23.3,38.2,19.5,73.5
USNM,3804,Panthera,tigris,unknown,India,,347.1,81.3,144.8,83.6,112.4,88.4,222.6,91.7,56.7,100.1,43.4,85.6,96.4,54.9,129.5,14,10.5,25.5,19.2,11.8,21.6,17.8,34.8,93.5,40.5,23,17.6,8.3,15,7.5,14.7,22.9,11.4,25.2,13.2,63,35.2,79.8,108.9,207.3,39,20.8,39.8,18,63.4
MVZ,184079,Panthera,tigris,unknown,unknown,,356.1,78.8,160.7,93.4,118.9,95.5,256.7,110.4,55.8,103.8,50.3,99.1,97.5,52.9,136.3,11.9,9.5,26.8,20.2,12.1,21.4,16.2,34.8,103.5,42.4,24.5,18.8,7.8,15.7,8.3,14.5,24.3,11.8,24.4,12.4,64.8,39.7,79.1,108.9,216.8,44.6,23.9,46.3,22.5,82.1
USNM,84091,Panthera,uncia,female,India,Jammu and Kashmir,161.5,44.3,69.8,38.1,66.8,49.8,113.9,65.6,45,66,19.9,41.8,51.5,36.9,74,6.3,4.6,10.2,8.9,9.6,13.1,10.8,22,53.1,23.7,10.6,8.3,7,11.2,6,9.8,15.4,7.2,16.9,8.1,32.2,13.2,42.3,56.1,106.6,20.2,10.5,20.9,9.6,33.4
USNM,241212,Panthera,uncia,female,Zoo,,168.9,44.8,70.9,41,67.5,47.7,122.2,68,45.9,64.1,21.9,45.1,45.7,35.3,73.3,6.2,4.7,10.7,9.3,9.5,13.5,11,21.5,55.7,24.1,10.5,7.9,6.9,11,6.2,9.3,15.6,7.5,15.8,7.3,32.2,14.8,47.1,59.7,11.4,19.8,10,22.7,9.3,36.9
USNM,176048,Panthera,uncia,female,Pakistan,Baltistan,173.9,48.2,73.1,41.4,71.8,53,126.4,74.8,47.8,69.3,22.7,46.1,57.6,36.6,77.5,6.6,4.8,11.3,9.1,9.6,14.7,12,23.6,57.1,18.6,11.5,9,7.3,12.8,6.3,10.1,16.3,7.8,16.4,7.7,33.2,17.1,46.5,58.3,112.9,22.7,12,22.8,11.2,35.3
FMNH,127297,Panthera,uncia,female,Zoo/Asia,,180.8,53.3,77.4,41.3,70.4,54.5,125.6,80.3,51.7,70.7,24.1,46.6,55.7,37.7,80.3,5.6,4.4,11.2,9.3,8.9,14,11.4,22.5,60,21.6,11.3,8.4,7,12,6.1,9,16.3,6.5,16.5,7.1,32.2,16,45.4,54,115.1,23.2,9.5,23.8,8.2,42.5
USNM,321948,Panthera,uncia,female,Zoo,,184,49.3,73.3,42.9,72.4,51.1,130.8,76.4,47.4,67.8,21.7,46.3,56.7,38.8,80.6,6.5,4.6,11.5,9.6,9.2,13.9,11.8,22.6,58.4,18.7,10.4,9,7.4,11.6,6.6,9.5,15.3,7.5,17.2,8,35.9,15,50.2,63.1,119.1,23.8,11.2,23.9,10,38.8
FMNH,187454,Panthera,uncia,female,Zoo,,185.4,57.3,76.6,43.6,70.7,51,131.5,,54.4,70.7,22.7,49,60.2,39.8,82.7,7.1,5.1,12.2,9.6,9.6,14.8,12.6,23.1,60.6,26.2,12.2,9.6,7.6,12.7,6.4,10.1,16.7,8,18.1,8.7,33.7,19.1,53.3,62.6,122.3,24.7,12.2,27.6,10.5,40
MVZ,124189,Panthera,uncia,male,unknown,,186.2,31,75.3,44.7,67.9,57.8,127.8,75.3,50,68.7,20.7,48,59.6,39.1,83,6.8,5.2,11.9,10.3,10,14.3,12.5,24.3,59.9,26.8,11.8,9.1,7.5,11.6,6.5,10.2,16.1,7.1,18.2,8.1,32.3,18.9,42.6,60,117.9,22.9,11.3,24.6,10.2,35.2
FMNH,160000,Panthera,uncia,female,Zoo/Asia,,191.7,54.1,78.9,43.4,73.4,59.8,133.2,81.8,54.4,72.6,22.5,50.4,57.8,40.2,82.6,6.5,5.5,12.2,9.9,9.1,14.8,12.8,23.3,63,25.4,12.3,9.2,7,12.2,6.1,10.3,16.3,7.5,17.2,8.2,33,17,56,64.4,123,24.3,12.3,27.2,11.4,40.3
FMNH,122235,Panthera,uncia,male,Zoo/Asia,,194.5,51,80.8,44.7,69.2,54.9,131,81.1,51.8,71.5,21.5,47.8,60.6,40.7,83,6.3,4.6,12.1,10.2,9.9,15.4,11.9,22.8,61.6,25.7,11.6,9.4,8.5,13.4,6.7,10,17.5,8,18.4,8,34.9,18.8,50.2,64,126.7,23.8,10.7,25.7,10,37.9
FMNH,60413,Panthera,uncia,male?,Zoo/Asia,,201.8,58.1,85.4,48.7,78.4,61.1,141.3,86.1,53.5,76.2,24.8,52.7,62.4,41.6,87.6,7.9,5.4,13.7,12.2,10.6,14.7,14.2,25.8,64.2,,,,,,,,,,,,,,,,,,,,,
FMNH,129395,Pardofelis,marmorata,unknown,Zoo/Southeast Asia,,82.7,27.2,29.1,17.4,36.1,31.5,64.9,52.2,30.8,40.2,9.6,21.2,27.7,21.4,43.2,2.3,2.1,4.9,3.8,4.1,6.8,5.3,11,28.4,9.5,4.9,3.1,3.3,5,2.4,4.7,7,3.5,7.8,3.5,14.3,8.7,24.8,30.4,56.2,10.1,4.2,10.2,3.7,16.9
USNM,325000,Pardofelis,marmorata,unknown,Indonesia,Sumatra,86.1,23.9,31.2,18.8,33.4,24.3,58.3,46,29.8,40.1,9.5,21,30,22.2,39.7,2.9,2.1,5.6,4.3,4.6,6.6,5.8,11.9,27.4,11.1,5.6,3.9,3.9,5.5,3.1,5.4,7.7,3.8,8.8,4,15.1,7.3,21.1,28.2,54.9,9.2,5.1,9.5,4.5,16.1
FMNH,60020,Pardofelis,marmorata,female,Zoo/Southeast Asia,,86.5,26.5,30.1,18.2,34.8,28.4,62.9,50.9,29.8,40,8.9,21.7,28.8,22.8,41.3,2.6,1.9,5.6,4.1,4.8,7.3,6,10.6,28.6,10.4,5.4,3.6,3.5,5.5,2.9,4.8,7.9,3.5,9.3,3.9,15.1,8.1,22.3,29.5,55.7,11,4.6,10.5,4.2,16.1
USNM,239326,Pardofelis,marmorata,male,Zoo,,94.7,28.2,36.1,22,38.6,33.5,74,57.4,28.1,44.6,10.2,23.6,32,22.9,45.7,3.2,2.6,6.4,4.8,4.9,7.4,6.5,11.8,29.7,10,5.9,4.1,3.9,5.2,3,5.3,7.9,3.9,9.6,4.1,19.9,9.6,25.8,33,61.4,11,5.4,11,4.8,17.1
USNM,259100,Pardofelis,marmorata,male,Thailand,Lam Tong Lang,98.6,29.4,34.9,22.7,39.8,29.9,71.9,56.6,30.4,43.3,9.7,23.4,32.2,24.1,45.8,3.7,2.4,6.2,4.3,4.8,7.5,6,12.6,31.1,11.5,6,4.3,4,5.9,2.9,5.7,7.9,3.9,10,4.3,17.5,9.5,26.4,33.4,62.6,11.4,5.8,11.3,5.6,17
FMNH,104901,Pardofelis,marmorata ,female,Zoo/ S. Asia,,95.3,29.4,34.2,22.6,37.6,30.6,69,56.2,29.9,44.2,10.7,24,33.2,22.9,44.7,3.1,2.5,5.9,4.4,4.7,6.9,6.4,12.5,31.7,10.2,5.6,3.8,3.9,5.9,3,4.9,7.4,3.9,8.6,3.8,16.4,9.3,23.5,31.4,59.3,10.8,5.9,10.7,5.5,17.5
FMNH,68728,Pardofelis,marmorata marmorata,female,Malaysia,Sabah,89.3,25.8,31.3,18.4,36.6,28,65.7,55.5,31.4,41.3,10.3,22.1,31,21.5,41.5,2.6,1.9,5.3,4.3,4.9,7.2,5.6,11.7,27.8,9.7,4.9,4.2,3.7,5.2,2.8,5.1,7.6,3.6,8.4,3.9,17.2,7.3,24.9,31.8,57.4,10.4,5.7,10.6,5.2,16.9
FMNH,60358,Pardofelis,marmorata marmorata,unknown,Thailand,,102.9,32.2,37.3,22.5,41.6,32.8,76.8,60.9,28.4,44.1,10.3,26,30.8,24.7,47.4,2.8,2.2,7.2,5.2,5.9,8.2,6.9,12.9,32.5,12.9,6.8,4.6,4.8,6.8,3.8,6,8.7,4.6,10.6,4.6,21.6,9.8,29.6,34.7,67.5,12.8,6.9,13.4,6.6,21.9
FMNH,74326,Prionailurus,bengalensis alcalai,female,Phillipines,Negros Island,80.6,25.5,31.6,17.9,30.5,23.1,53.2,40.4,24.2,36.4,8.5,17.3,27.7,19.5,34.6,2,2,3.5,2.8,3.9,5.6,4.7,9.9,25.2,8.3,3.6,2.5,3.3,5,2.3,4.5,7,2.9,6.4,3,15.2,8.2,20.4,27,50.6,8.7,5.1,7.7,4.9,12.2
FMNH,79819,Prionailurus,bengalensis alcalai,male,Phillipines,Negros Island,86.8,27.1,33.7,19.3,33.3,23.4,57.5,42.3,21.3,37.5,9,19.8,27.9,19.7,35.5,1.9,1.6,4.4,3.4,4.1,6.3,4.2,9.8,26.6,9.7,4.1,3,3.4,5.1,2.4,4.2,6.8,3,6.9,2.9,16.6,10.5,21.4,28.8,54.4,10,4.9,9,4.5,12.7
FMNH,75829,Prionailurus,bengalensis bengalensis,female,India,Manipur,82.4,24.7,31.7,17.6,33,26,52.7,35.2,28.5,37.4,9.1,18.6,25.8,20.6,32.3,2,2,4,3.1,4.5,6.3,4.4,10.3,25.8,8.7,3.9,3.2,3.6,5,2.3,4.9,6.3,2.9,7.6,3.5,11.2,8.1,19.2,25.9,49.5,7.7,5.1,7.1,4.3,12.8
FMNH,38007,Prionailurus,bengalensis bengalensis,female,Laos,Thateng,83.6,26.3,33.1,16.7,32.6,24.4,56.5,40.5,24.9,37.6,9.3,18.6,26.8,20.6,34.2,2.1,2.3,3.9,3.3,4.3,6.1,4.8,9.7,24.5,8.2,3.1,2.8,3.6,5,2.4,4.3,6.2,3,7.2,3.5,13.2,8.9,21,27.3,50.8,9.3,4.6,8.4,4.3,11.5
FMNH,32552,Prionailurus,bengalensis bengalensis,female,Vietnam,Tonkin,84.2,26.8,33.4,17.2,35.1,26.8,57.3,40.5,26.4,39.3,9.2,19.1,27.8,22.1,36.1,2.1,1.6,4.1,3.6,4.8,6.1,4,9.9,26.6,9,3.9,3,4.1,5,2.5,4.9,6.7,2.9,7.7,3.2,14.9,8.6,22.9,29.7,54.8,9.4,5,9.1,4.8,10.8
FMNH,75828,Prionailurus,bengalensis bengalensis,male,India,Meghalaya,92.1,29,36.3,20.3,35.7,28.3,61.1,43.2,26.3,40.1,9.4,21.4,27.5,22.6,38.1,2.1,2,5,3.8,4.6,7.1,4.8,10.4,28.4,9.7,4.4,3.6,3.7,5.4,2.6,4.5,6.9,3,8.2,3.3,15.4,8.9,24.4,32.2,57.9,10,5.1,9.5,4.9,14
FMNH,32549,Prionailurus,bengalensis bengalensis,male,Vietnam,Tonkin,97.7,30.1,36.8,20.2,35.9,29.2,64.5,45.6,26.1,40.9,9,22.5,28.1,22.4,39,2.1,1.9,5,3.7,4.9,6.6,4.7,10.4,28.7,11.1,4.9,3.7,4.3,5.3,2.7,5,7.2,3,8.1,3.3,15.7,11.4,24,32.4,60.9,10.2,4.9,9.7,4.7,15.6
FMNH,99363,Prionailurus,bengalensis borneoensis,male,Malaysia,Sarawak,84.5,25.8,33.2,18.5,31.7,24.8,56.3,45.8,24.4,38.4,8.5,20.1,25,19.9,35.3,2.2,1.7,4,3.2,4.4,5.5,4.1,9.6,26.5,8,3.5,3,3.9,5,2.4,4.7,6.3,3.1,7.2,3.3,13.9,8.6,22.9,28.3,52.9,9.4,4.6,8.6,4.4,11.4
FMNH,39340,Prionailurus,bengalensis chinensis,female,China,Fujian,90.7,28.9,35.9,18.8,33.4,26.8,58.7,44,28.6,39.6,9.2,19.9,26.9,19.7,37,2.1,2,4.3,3.3,4.6,5.8,4.3,9.8,26.8,9.4,4,3,3.8,4.8,2.4,4.7,6.4,3.1,7.7,3.4,15,7.8,20.8,28.9,54.6,9.4,4.6,8.9,4.4,12.8
FMNH,101977,Prionailurus,bengalensis euptilura,male,Zoo/Southeast Asia,,107,28.7,42.4,21.7,37.3,27.5,68.6,54.2,26.7,43.3,11.4,24.2,32.2,23.6,43.7,2.6,1.9,5.7,4.3,4.7,7,5,11.4,31.8,11,5.1,4.1,4.3,5.9,3.1,4.3,7,3.7,9.4,3.8,15.5,10.2,25,35.9,67.7,12.4,6,12.4,5.2,19.4
USNM,489423,Prionailurus,planiceps,male,Malaysia,Selangor: Klang Tanjong Duablas,89,28.2,36,19.3,32.7,23.6,53.6,37.2,22.3,38.8,10.4,19.9,28.1,22,39.2,2.3,2.1,5.2,3.6,4.9,7.1,4.4,11.2,28.8,11.8,5.6,3.7,5.2,5.1,2.5,5.5,7.6,2.9,7.5,3,14.7,6.3,22.5,28.7,56.3,9.6,4.5,9.5,4.6,16.5
USNM,196603,Prionailurus,planiceps,male,Indonesia,Borneo,92,27.4,35.2,20.9,31.4,24.7,54.3,39,20.5,37.3,9.6,19.9,29.7,21.6,39.4,2.2,1.9,4.8,3.6,5.4,7.7,4.3,11,29.6,11.2,5,3.8,5.6,6.6,2.7,5.5,8.1,2.8,7.3,2.9,17.8,6.7,21.5,29.2,57,9.6,4.4,9.2,4.6,14.8
USNM,489424,Prionailurus,planiceps,male,Malaysia,Selangor: Klang Tanjong Duablas,92.6,30.4,36.9,21.6,31.4,22.2,57.7,45.5,21.6,38.6,9.5,22.1,27.1,21.4,39.5,2.1,1.7,5,3.7,5.3,7,4.3,11.1,30.7,11.4,5,3.8,5.3,5.8,2.5,5.2,7.7,2.7,7.7,3,15.1,7.5,22.3,30.8,59.5,10.1,4.6,9.5,4.4,16.4
FMNH,129397,Prionailurus,planiceps,female,Zoo/Southeast Asia,,93.7,30.3,37.3,23.3,30.9,25.6,59.6,43.3,20.5,38.5,9,20.7,28.6,21.4,41,,,5.1,4.1,5.8,7.4,4.6,11.1,31.2,11.2,4.4,3.7,5.3,6.1,2.5,5,7.8,2.9,7.9,2.9,15.6,8.5,28.4,32.3,62.9,9.8,3.9,8.2,3.6,15
USNM,145594,Prionailurus,planiceps,female,Indonesia,Borneo,94.1,30.2,37,21.4,31.8,23.5,56,41,20.4,37.4,9.7,20.3,29,22.1,38.7,2.3,2.2,4.8,3.6,5.5,7.3,5.2,11.5,31.1,10.7,4.9,3.4,5.3,5.8,2.6,5.2,8.2,3.1,8,3.2,16.3,7.1,22.9,31.4,59.7,9.9,4.2,8.8,4.3,15.8
USNM,144119,Prionailurus,planiceps,female,Indonesia,Sumatra,95.6,31.5,35.2,20.5,32.4,24.5,56.2,42.5,20.5,37.1,10,21,27.7,21.5,39.8,2.7,1.9,4.6,3.6,5.4,7.7,5.3,10.9,30.7,11.2,4.8,3.6,5.7,6.2,2.9,5.7,8.2,3.1,7.3,2.8,15.7,8.1,25.7,31.3,59.2,9.8,4.5,9.5,4.2,16.8
FMNH,58951,Prionailurus,planiceps,female,Zoo/Southeast Asia,,98.2,30,37.3,23.2,33.1,26.7,61,46,18.2,37.6,9.6,21.9,28.2,21.5,41.8,2.3,1.9,5.1,3.6,5.4,7.3,4.2,10.5,32.1,12.4,5.1,3.7,4.3,5.2,2.7,5.2,7.2,3.2,7.4,3.1,15.5,6.7,25.8,34.8,63.3,10.7,4.2,10.9,5,18.7
USNM,489422,Prionailurus,planiceps,male,Malaysia,Selangor: Kuala Lumpur,99.7,33.3,38.1,21.3,33,25.5,59.3,44.2,19,38.4,9.4,22.4,29.2,22.6,42.1,2.3,1.9,5,3.7,5.3,7.4,4.5,11.1,31.3,11.4,5.1,3.8,5.4,5.7,2.5,5.3,7.6,2.7,8.2,3.3,16.3,10,25.2,32.9,63.1,10.9,4.9,10.3,4.9,15.6
FMNH,60476,Prionailurus,planiceps,male,Zoo/Southeast Asia,,100.6,34.6,39.4,22.6,32.7,24,60.4,45.8,18.7,40.2,8.8,22.8,29.7,22.9,45.1,2.4,2,5.4,4.4,5.9,7.6,4.9,11.5,33.4,12.9,5.3,4,5.8,5.5,2.7,5.7,7.7,2.9,7.3,3.2,17.5,8.1,27.4,36.4,67.1,10.7,4.8,10.1,4.6,16.1
USNM,196605,Prionailurus,planiceps,male,Indonesia,Borneo,101.1,32.1,36.7,22.8,31.4,23.5,61.2,45.2,19.1,37.4,10.6,23,30.7,22.1,41.4,2.5,2,5.5,4.4,6.1,7.8,4.5,11.2,31,11,5.4,4.3,5.7,6,2.8,5.6,8.2,3.2,7.6,3.1,19.1,8.4,29.2,35.1,63.3,10.9,5.4,10.3,5.2,17.7
FMNH,127432,Prionailurus,planiceps,male,Zoo/Southeast Asia,,103.5,33.7,39.1,23,30,26.3,60.6,46.1,20.2,38.2,10.4,23,31.8,22.7,44.5,2.1,1.9,5.5,4.1,5.6,7.6,4.6,10.5,31.6,11.8,5.1,4,5.6,6.3,2.7,4.8,7.9,3.1,7.7,3.2,15.2,8.6,25.3,33.7,65.2,10.8,4.7,10.4,4.4,18.1
FMNH,127433,Prionailurus,planiceps,female,Zoo/Southeast Asia,,103.6,35,39.5,25.4,36.3,28.2,65.5,50.2,20.5,40.1,10,25.5,31.7,22.9,47.3,2.6,2,5.9,4.8,5.4,7.9,5.2,12.2,34.2,13.2,6.1,4.3,5.7,6.2,3,6.1,8.5,3.4,7,3.2,17.9,9.2,29.4,36.1,66.7,12.2,5.5,10.2,5.1,17.6
FMNH,147997,Prionailurus,planiceps,male,Zoo,,104,24.7,39.8,23.1,36.1,28,64.5,49,21.6,36.9,9.4,22.9,32.9,23.4,45.8,2.1,2,5,4.1,5.4,7.2,4.9,10.1,32.9,11.8,5.4,3.8,5.3,5.6,2.6,5.1,7.4,2.9,7.4,3.1,17.8,8.9,29,36.1,68.1,11.9,5.2,10.6,5,19.3
FMNH,96335,Prionailurus,rubiginosa phillipsi,male,Sri Lanka,Southern province,71.4,24.9,26,14.1,27.7,23,48.2,35.4,22.8,33.9,7.8,16.3,24,18.8,30.6,1.7,1.7,3.7,2.7,3.7,4.8,3.5,8.2,20.7,8.3,3.4,2.6,3.3,4,2.1,3.7,5.3,2.4,6.3,2.8,11.5,7.5,18.2,24.8,43.2,6.8,4,6.8,3.9,9.5
FMNH,95137,Prionailurus,rubiginosa phillipsi,female,Sri Lanka,Southern province,71.6,21.9,27.2,15.2,27,22.3,47.3,34.5,23.7,34.9,7.3,15.5,21.7,18.7,29.9,1.6,1.4,3.2,2.5,3.4,4.4,3.1,7.9,20.6,7.5,3.1,2.3,2.9,3.8,1.9,3.6,5.3,2.2,5.7,2.5,11.6,6.7,18.5,25.1,43.9,7.5,3.3,6.9,3.3,8.5
FMNH,96333,Prionailurus,rubiginosa phillipsi,female,Sri Lanka,Western province,71.8,22.6,28.5,15.6,28.6,23.7,51.1,36.9,22.5,35.9,8,17.3,,,31.9,1.8,1.6,3.8,3,4,4.8,3.7,8.6,22.4,8.2,3.7,2.9,3.3,4.1,2.3,3.6,5.8,2.7,6.7,2.9,13.1,9,20.4,26.9,47.3,8.9,3.9,8,3.4,9.5
FMNH,96334,Prionailurus,rubiginosa phillipsi,female,Sri Lanka,North Central province,73,25.8,28.4,15.3,28.7,23.6,49.7,35.3,25.8,35.5,8.2,16.3,22.7,18.8,31,1.9,1.6,3.7,2.8,3.9,4.9,3.7,8.6,22.2,7.5,3.4,2.8,3.5,4,2.3,3.9,5.3,2.7,6.2,2.8,11.8,7.7,18.6,25.3,44.6,7.7,4.3,7.1,4,9.6
FMNH,95037,Prionailurus,rubiginosa phillipsi,male,Sri Lanka,Central province,76.2,23.2,28.5,14.5,26.7,21.5,50,,25.4,35.5,8.1,17.5,23.3,18.2,31.6,1.9,1.6,3.8,2.9,3.9,5.4,3.6,9.3,22.7,9,3.6,2.8,3.3,4.1,2,3.6,5.2,2.5,6.7,3.1,11.9,8,17,25.5,45.3,7.3,3.9,6.9,3.9,11.2
FMNH,96331,Prionailurus,viverrinus,female,Sri Lanka,North Central province,118.4,36.2,47.8,28.2,45.2,33.8,77,44.2,28.1,45.6,12.2,27.7,34,28.1,47.5,3.3,2.8,7.3,5.8,6.5,9.4,7.1,14.7,38.6,13.9,6.9,5.2,5.9,7.1,3.9,6.9,9.8,4.6,10.4,4.5,21.3,12.5,31.6,41,76.7,13.7,7.5,13.6,6.4,18.2
FMNH,105562,Prionailurus,viverrinus,female,Nepal,Banke; Mahadeva,118.7,38.3,46.7,27.2,45.9,33.1,74.8,48.7,29.1,46.2,12.3,28.2,36.7,26.7,49.3,3,2.5,7.1,5.7,6.7,8.9,6.7,14.5,37.3,14.4,7.2,5.1,5.5,7.3,3.6,7.1,10,4.5,10.7,4.9,23,13.6,33,38.9,74.9,13.7,7.4,13.3,6.9,20.1
FMNH,105561,Prionailurus,viverrinus,female,Nepal,Nawal Parasi,118.8,37,46.7,26.8,41.5,30.7,72.1,51.1,27.8,45.8,12.1,28.3,34.6,25.5,47.1,,,6.7,5.3,6.2,8.6,6.8,14.8,37.8,12.5,6.7,5.4,5.6,7.1,3.5,7,9.1,4.4,10.6,5,19.6,13.1,31.5,39.5,73,14.6,7.3,13.6,6.7,19.4
FMNH,60672,Prionailurus,viverrinus,female,Zoo/Southeast Asia,,126.6,34.2,50.3,29.6,46.7,32.7,81.2,57.9,30.1,46.1,13.3,29.9,36.9,25.8,51,3.2,3.1,7,5.3,6.1,9.1,6.6,13.9,38.3,14.8,6.7,5.2,5.3,7.4,3.6,6.2,9.2,4.2,9.4,4.7,21.6,12.9,35.8,43.5,81.1,13.1,6.6,14.3,6.1,21.5
USNM,535231,Prionailurus,viverrinus,male,Thailand,Chanthaburi,132.8,40.9,50.5,29.8,50,37.7,87.2,47.8,29.4,49.6,12.9,31.7,39.6,31.7,54.5,3.4,2.9,9,6.6,7.3,10.1,7.4,16.2,40.7,18.1,8.3,6.5,6.3,8.4,4.3,7.6,10.5,5.1,11.3,5.2,21.1,11.6,32.7,45.6,85.5,15.4,7.8,14.9,7.1,24.4
FMNH,123070,Prionailurus,viverrinus,female,Zoo/Southeast Asia,,134.1,40.6,50.3,31.6,43.4,33.4,83.7,59.3,27.6,45.3,13,31.4,39,26.2,51.5,3,2.8,7.6,5.6,5.4,8.7,7,14,39.8,13.2,6.4,5.2,,,,5.5,9.5,4.1,9.7,4.8,24.9,13.3,38,45,84.1,15.3,7.5,15.7,7.9,20.7
FMNH,96332,Prionailurus,viverrinus,male,Sri Lanka,North Central province,136.7,43.8,52.9,31.5,51,35.4,93.2,53.9,30,47.7,12.6,33.2,37.3,29.6,52.5,3.6,3,8.1,6.1,7.1,9.7,7.5,15.3,41.2,16.8,7.7,6.1,6.3,7.6,4.4,7.6,10.4,5.2,11.3,5.3,28.3,14.8,38.3,48.5,87.6,16.9,9.1,15.8,8.5,23.4
FMNH,99533,Prionailurus,viverrinus,male,Sri Lanka,Western province,143.6,44.2,53,30.5,52.1,38.4,93.5,49.3,30.7,49.7,14.2,35.7,41.2,30.8,56.2,3.6,2.8,7.1,5.7,7.1,9.4,7.6,15.1,40.9,16.1,7.6,6.2,6.2,7.9,4.5,7.2,10,5.1,11.6,5.3,26.3,14,39.5,49.2,88.8,16.8,9.1,17.8,8.1,21.8
FMNH,168869,Prionailurus,viverrinus,male,Zoo,,144,45.5,55,31.2,51.3,37.5,92.4,73,28.8,50.3,13.9,34,38.2,28.4,55.1,3.4,3,7.8,6.5,6.4,9.4,7.3,14.7,42.4,15.2,7.4,5.4,6.2,8.3,4.1,7.2,10.1,4.6,10.3,4.8,28.1,16.4,38.6,50.5,92.4,16.8,97.8,16.5,8.5,21.6
FMNH,121528,Profelis,aurata,female,Zoo/Africa,,120.8,38.3,47.6,25.7,49.7,37.3,80.9,54.2,34.2,52.1,12.9,28.3,38,27.5,51.5,4.1,3.1,6.7,5.4,5.8,9.1,7.4,15.2,40.2,12.9,5.8,4.8,,,,,,,,,19.7,12.6,33.9,36.9,75.7,13.5,6.1,13.5,5.7,22.1
USNM,282637,Profelis,aurata,male,Zoo,,152.1,44.7,56.2,33,55.1,44.9,95.4,41.9,30.1,50.5,15.4,33.6,42.4,30.4,61.6,4.8,3.8,8.3,6.3,7.3,10.7,8.3,17,47.5,14.5,8.2,5.6,5.1,7.9,4.4,6.8,11,5.3,11.9,5.6,26.2,15.9,41,51.4,94.4,18.3,8.9,17.5,8,29.8
USNM,278523,Profelis,aurata,male,Zoo,,155.7,45.6,58.8,32.4,48.8,41,97.2,61.2,33.8,55.7,15.7,33.1,41.4,31.3,64.1,4,4,7.5,6.1,6.7,9.9,8,15.8,44.3,13.5,7.2,5.8,5.2,7.5,4.2,6.7,10.6,5.1,10.5,5.1,30.3,18.1,42.3,54.2,95.7,17.8,8,17.7,7.8,28
