Museum,Catalog no.,Genus,Species,Sex,Country,State/Region,SKL,BCL,FL,PL,PW,GULW,ZW,POP,POC,MCW,I3-I3,C1-C1,MB,CB,OCB,I3AP,I3ML,C1AP,C1ML,P3H,P3L,P4BP,P4L,P4-C1,c1H lower,c1AP,c1ML,p3H,p3L,p3B,p4H,p4L,p4B,m1L,m1B,MAT,MAM,MFL,MM1,MC1,JDM1,JBM1,JDP4,JBP4,SYML
LACM,92581,Lynx,canadensis canadensis,female,U.S.,,116.8,47.4,48.4,28.6,51.7,44.8,88,58.4,38.4,55.7,13,31.6,38.7,29.7,54.9,3.2,2.7,6.6,5.6,7.8,9.8,7.4,15.4,39.1,17.1,6.3,4.7,6.5,7.9,4.1,7.2,9.8,4.6,11.5,5.2,20.6,12.8,33.2,42.3,76.7,15.4,6.5,14.4,6.5,20.1
LACM,92582,Lynx,canadensis canadensis,male,U.S.,,117.5,52.3,47.9,28,54.6,44.8,92.2,61,40,56.6,14.4,32.6,36.2,30.2,54.4,4,3.3,7.5,5.9,7.9,10.5,7.8,16.1,39.3,18,7.4,5.2,6.6,8.2,4.3,7.4,10.5,5,13,5.5,20.1,12.8,32.7,42.3,77.8,16.4,7.2,15,7.3,21.7
USNM,270560,Lynx,lynx,female,China,Nei Mongol,139.9,38.3,53.9,33.6,61.4,46.7,98.3,62.8,41.2,61.4,16.8,35.5,50.1,33.2,63.6,4.7,4.2,9.1,7.2,9.5,10.8,9.3,18.7,47.9,18.8,9.7,7.2,7.8,10.6,6.6,9,12.7,6.9,16.2,7.3,22.6,14.7,36.1,44.9,91.8,18.5,9.6,16.5,9,27.4
USNM,84090,Lynx,lynx,female,India,Jammu and Kashmir,144.9,40.3,56.2,35.5,55.8,45.3,99.7,65.8,41.8,59.9,15.7,35.9,47.4,30.5,62.1,4.6,3.7,8.3,6.9,8.6,12.2,8.9,18.6,46.3,17.8,8.2,6,6.8,9.5,5.3,8,12.3,6,14.9,6.7,23.9,10.8,36.8,48.9,92.7,17.2,8.6,16.6,9,27.2
USNM,198468,Lynx,lynx,female,India,Jammu and Kashmir,152,40.5,58.9,39,56.6,45.1,105.3,71.3,42.6,61,16.6,37.5,47.9,32.5,66.8,4.1,3.8,8.7,7.2,8.1,11.1,8.7,18.4,47.1,17.2,8.2,6.2,6.5,9.4,5.2,8,11.5,5.9,13.2,6.5,26.8,14.4,39.7,52.5,98.5,18.5,8.4,18,8.1,26.5
USNM,A01034,Lynx,lynx,unknown,Sweden,,155.7,45,62.2,39.4,57.1,48.3,112.4,71.3,37.7,61.8,16.6,41.8,53.5,33.6,68.5,4.6,4.6,10.6,8.7,9,12,9.6,18,49.2,17.3,10.5,8.5,7.6,10.2,5.8,8.8,12.6,6.9,15.6,7.5,28.8,16.9,44.6,56.6,104.8,22.1,10,20.8,9.6,28.8
USNM,152618,Lynx,pardinus,male,Spain,Huelva,120.1,34,46.1,29.7,49.7,42.3,85.2,55.9,42.8,55.5,14.9,29.9,43.5,27,55,4.1,4.1,7,5.5,7.6,9.9,7.1,14.4,37.3,14.7,7,5.2,6.4,7.7,4.1,7.1,9.3,4.7,12.4,5.3,19.6,10.9,30.5,40.8,76.5,14,8.2,13.4,8,22.6
USNM,152619,Lynx,pardinus,male,Spain,Huelva,133.8,35.2,52.6,33.9,54.4,45,97,65.6,42.4,56.9,15.8,33.2,37,29,60.6,3.6,3.2,7.5,6.1,7.5,9.9,7.3,15.9,38.3,15.4,7.2,6.1,6.5,7.9,4.4,7.3,10.1,5.1,12.7,5.8,23.1,12.4,35.9,48.6,89,16,7.9,15.8,7.5,23.5
LACM,18,Lynx,rufus,female,,,101.4,32.7,41.7,24,44.2,39.2,80.8,57.6,41.1,51.2,11.2,27.2,35.2,26.2,49.5,2.7,2.3,5.9,5.1,6.1,7.8,6.1,12.8,34.8,,5.6,4.5,4.8,6.6,3.8,5.7,8.2,4.1,9.8,4.5,19.3,8.8,30.9,37.5,66.9,12.5,6,12.5,5.7,18.2
MVZ,86916,Lynx,rufus,female,United States,Oregon,127.5,40.2,47.9,29.8,47.6,41.4,90,63.7,39.1,55.2,12.6,29.7,44.1,30.9,56.6,3.3,2.5,6.6,5.4,6.6,9.9,6.6,13.6,37.7,13.8,6,4.8,5.1,7.4,3.9,6.1,9,4.4,10.7,4.9,22.6,9.8,32.8,42.1,77.3,14.7,6.5,14,6.5,20.7
MVZ,78413,Lynx,rufus,unknown,United States,Utah,131.9,38.3,51.4,31.5,48.5,39.6,85.7,58.4,38,53.6,12.7,31.8,41.3,30.6,57.9,3.9,3,7.1,5.8,6.4,10.1,7.1,14.6,38.6,15.2,6.7,5.1,5.5,8.1,4.4,6.3,9.9,5,11.9,5.4,21.5,13,34.6,41.7,81.2,15.8,7.4,15,7.2,23.2
MVZ,113627,Lynx,rufus,unknown,United States,Utah,133.1,39.5,52,32.7,49.8,41.7,94.5,62.9,39.9,57,13,31.8,45.5,30.8,57.7,3.4,3,7.1,6,7.1,9.4,7,14.5,40,14.1,6.4,5.3,5.8,7.3,4.1,7,9.7,4.9,12,5.2,23.3,13.2,37,44.5,83.6,16.7,7.3,15.4,7.2,21.6
MVZ,86915,Lynx,rufus,male,United States,Oregon,135.4,42.6,50.7,29.9,50.9,43,94.3,63.4,40.6,55.2,13.5,31.9,40.3,32.4,60,3.6,3,6.8,5.8,7,10,6.7,15.5,37,14.2,6.6,5.4,6,7.6,4.2,7.1,9.5,4.8,10.8,5.2,23.6,12.3,34.9,42.8,82,15.9,7.6,15.1,7.4,23.7
LACM,52220,Lynx,rufus californicus,female,U.S.,California,103.4,33.9,42.3,26.5,43.2,40.1,79.5,52.2,38.3,51.3,11.5,26.2,38.3,26.4,52.6,,,5.5,4.4,5.8,7.6,5.2,11.9,32.9,14.2,5.1,4.1,4.7,5.9,3,5.8,8,3.5,9.1,3.9,20.1,11.7,29.3,37.8,66.2,12.4,6,11.9,5.6,19.3
LACM,45023,Lynx,rufus californicus,female,U.S.,California,105.3,44,43.3,24,47.1,42.8,83,57.8,40.1,52.4,12.7,29.3,38.9,27.3,52.6,3.1,2.4,5.7,4.8,6,8.1,6.1,12.6,33.8,15.7,6.4,5.5,5.6,6.8,3.9,6.3,8.4,4.2,10.3,4.7,23.1,11.8,32.2,37.6,66.9,13.1,6.1,12.8,5.8,18.7
LACM,45026,Lynx,rufus californicus,male,U.S.,California,109.3,48.6,42.6,25.4,47.1,42.4,84.9,59.3,41.8,55.1,12.4,28.8,41,27.9,53,3.1,2.4,5.7,5.2,6,8.1,6.1,13.5,34.1,14.6,6.1,4.8,5.1,5.8,3.6,5.4,7.7,3.9,10.6,4.4,20.4,12.6,31.5,40.7,70.9,13.9,6.4,13,6.2,18.2
LACM,52210,Lynx,rufus californicus,male,U.S.,California,112,46.5,47.5,28.3,50,44.3,88.4,62.2,43.7,54.7,12.9,31.6,37.5,30.5,54.4,3.8,2.2,7,5.6,6.2,9.1,7,13.5,36.9,14.6,6.2,5.2,5,7.7,3.8,5.9,8.8,4.3,10.9,5,23.6,13.4,31,39.2,73.3,15.5,6.8,14.4,6.3,21.2
LACM,45024,Lynx,rufus californicus,male,U.S.,California,112.6,52,47.3,29,47.3,42,89.5,62.9,41.9,55.4,14.1,32.7,42.7,29.7,53.9,3.6,2.6,7.4,6.3,6.6,8.4,6.8,14.5,37.4,16.2,6.9,5.5,5.6,6.3,3.8,6.3,8.6,4.3,10.2,5.1,22.5,13,32.1,40,72.4,13.6,6.9,14,6.4,21.7
LACM,45022,Lynx,rufus californicus,female,U.S.,California,115.1,50.9,45.8,28.3,48.7,40.1,90.4,63.9,41.6,54.7,12.3,32.1,37.8,30.3,54.6,3.4,2.7,7.4,6.1,6.6,8.9,6.8,14.4,37,16.9,5.3,6.6,5.4,7.3,3.7,6.4,9.1,4.5,12,4.9,24.2,12.3,32.4,39.8,74.2,14.4,7,13.5,6.9,20.5
LACM,45027,Lynx,rufus californicus,male,U.S.,California,115.7,49.9,46.9,27.4,47.9,44,90.8,60.1,36.8,55,15,32.2,40.1,29.4,57.8,3.4,2.3,6.6,5.6,6.4,9.1,7.2,14.6,37,15,6.2,5.2,5.3,7.6,4,6.5,9.5,4.5,11.5,4.6,21.4,13.5,33.9,40.6,73.9,14.5,6.2,13.8,6.3,20.1
LACM,52209,Lynx,rufus californicus,male,U.S.,California,116.8,50.3,50,29.3,48.7,39.8,88.5,62.9,38.7,55.2,12.7,30.8,40.9,29.2,56.1,3.2,2.4,6.6,5.5,6.3,8.9,6.3,13,34.9,15.6,6,4.9,5.1,6.7,4,5.9,8.5,4.6,10.5,4.6,22.6,12.8,32.4,41.9,73.8,15.7,6.9,14.4,6.8,21.7
LACM,31665,Lynx,rufus rufus,female,U.S.,Michigan,108.4,36,42.4,26,48.5,42.1,84.6,55.9,40.3,51.4,13.3,30.2,37.8,29.5,53.8,3.2,2.5,6,5.3,6.4,9,6.1,13.5,33.3,14.8,6.4,4.8,5.5,7.1,3.9,6.4,9.5,4.4,11.5,5.1,22.7,12.5,34.6,40.7,71.5,14.3,7,14,6.7,21.3
LACM,31155,Neofelis,nebulosa,unknown,,,125.4,35.5,51.3,30.2,52.8,42.7,93.2,61.7,34.2,52.8,15.1,34.7,38.5,31.5,58.2,4.6,3.4,8.7,6.5,5.3,9.5,7.5,16,40.8,17.1,7.5,5.8,4.9,7.6,3.8,6.8,10.2,4.9,12.7,5.6,27.6,17.9,37.6,44.6,82.8,16.5,8.8,15,8.2,27.4
